date,name,value
01-01-70,United States,468
01-01-70,Uruguay,33
01-01-70,Argentina,21
01-01-70,West Germany (FRG),20
01-01-70,East Germany (GDR),12
01-01-70,Turkey,12
01-01-70,United Kingdom,12
01-01-70,Philippines,10
01-01-70,Jordan,9
01-01-70,Brazil,6
01-01-70,Iran,5
01-01-70,Guatemala,4
01-01-70,Spain,4
01-01-70,Ethiopia,3
01-01-70,Greece,3
01-01-70,Italy,3
01-01-70,Netherlands,3
01-01-70,Switzerland,3
01-01-70,Canada,2
01-01-70,Dominican Republic,2
01-01-71,United States,247
01-01-71,United Kingdom,81
01-01-71,Turkey,35
01-01-71,Spain,22
01-01-71,West Germany (FRG),13
01-01-71,Iran,11
01-01-71,Uruguay,8
01-01-71,Argentina,7
01-01-71,Jordan,5
01-01-71,East Germany (GDR),4
01-01-71,Philippines,4
01-01-71,Venezuela,4
01-01-71,Brazil,3
01-01-71,Dominican Republic,3
01-01-71,Italy,3
01-01-71,Bolivia,2
01-01-71,Cambodia,2
01-01-71,Sweden,2
01-01-71,Australia,1
01-01-71,Costa Rica,1
01-01-72,United Kingdom,292
01-01-72,United States,68
01-01-72,West Germany (FRG),24
01-01-72,Argentina,20
01-01-72,Spain,19
01-01-72,Iran,15
01-01-72,Israel,15
01-01-72,France,11
01-01-72,Turkey,9
01-01-72,Australia,8
01-01-72,Austria,7
01-01-72,Jordan,7
01-01-72,Philippines,7
01-01-72,Uruguay,7
01-01-72,Brunei,5
01-01-72,Ireland,5
01-01-72,Belgium,4
01-01-72,Canada,4
01-01-72,Italy,4
01-01-72,Brazil,3
01-01-73,United Kingdom,189
01-01-73,Argentina,60
01-01-73,United States,58
01-01-73,West Germany (FRG),27
01-01-73,Spain,21
01-01-73,Italy,15
01-01-73,France,14
01-01-73,Greece,11
01-01-73,Lebanon,11
01-01-73,Chile,7
01-01-73,Colombia,6
01-01-73,Mexico,6
01-01-73,Iran,4
01-01-73,Venezuela,4
01-01-73,Cyprus,3
01-01-73,Dominican Republic,3
01-01-73,Ireland,3
01-01-73,Peru,3
01-01-73,Austria,2
01-01-73,Brazil,2
01-01-74,United Kingdom,203
01-01-74,United States,94
01-01-74,Argentina,71
01-01-74,France,29
01-01-74,West Germany (FRG),28
01-01-74,Italy,22
01-01-74,Mexico,16
01-01-74,Spain,14
01-01-74,Israel,12
01-01-74,Iran,11
01-01-74,Lebanon,11
01-01-74,Greece,6
01-01-74,Belgium,5
01-01-74,Ethiopia,4
01-01-74,Syria,4
01-01-74,Ecuador,3
01-01-74,El Salvador,3
01-01-74,Ireland,3
01-01-74,Japan,3
01-01-74,Peru,3
01-01-75,United Kingdom,194
01-01-75,United States,149
01-01-75,Spain,136
01-01-75,France,39
01-01-75,Argentina,38
01-01-75,West Germany (FRG),35
01-01-75,Lebanon,15
01-01-75,Iran,13
01-01-75,Japan,12
01-01-75,Colombia,10
01-01-75,Mexico,10
01-01-75,Turkey,10
01-01-75,Ireland,7
01-01-75,Italy,7
01-01-75,Guatemala,5
01-01-75,Venezuela,5
01-01-75,Ethiopia,4
01-01-75,Greece,4
01-01-75,Kenya,4
01-01-75,Netherlands,4
01-01-76,United Kingdom,194
01-01-76,Italy,173
01-01-76,United States,105
01-01-76,France,58
01-01-76,Argentina,54
01-01-76,Spain,50
01-01-76,West Germany (FRG),50
01-01-76,Turkey,35
01-01-76,Colombia,22
01-01-76,Greece,21
01-01-76,Mexico,20
01-01-76,Portugal,15
01-01-76,El Salvador,13
01-01-76,Guatemala,13
01-01-76,Costa Rica,12
01-01-76,Philippines,10
01-01-76,Brazil,5
01-01-76,Ethiopia,5
01-01-76,Ireland,5
01-01-76,Austria,4
01-01-77,Italy,308
01-01-77,Turkey,189
01-01-77,Spain,147
01-01-77,United Kingdom,140
01-01-77,United States,130
01-01-77,Colombia,80
01-01-77,France,53
01-01-77,Greece,47
01-01-77,West Germany (FRG),40
01-01-77,Mexico,19
01-01-77,Argentina,17
01-01-77,Portugal,15
01-01-77,South Africa,15
01-01-77,Guatemala,8
01-01-77,Ecuador,7
01-01-77,Chile,6
01-01-77,El Salvador,6
01-01-77,Israel,6
01-01-77,Netherlands,6
01-01-77,Austria,5
01-01-78,Italy,277
01-01-78,Spain,209
01-01-78,Colombia,158
01-01-78,United Kingdom,100
01-01-78,El Salvador,91
01-01-78,United States,87
01-01-78,Nicaragua,76
01-01-78,France,59
01-01-78,Turkey,52
01-01-78,Greece,39
01-01-78,Philippines,36
01-01-78,Japan,35
01-01-78,Mexico,30
01-01-78,Guatemala,29
01-01-78,Iran,27
01-01-78,Argentina,25
01-01-78,Israel,23
01-01-78,Rhodesia,19
01-01-78,West Germany (FRG),19
01-01-78,Lebanon,12
01-01-79,El Salvador,326
01-01-79,Spain,279
01-01-79,United Kingdom,239
01-01-79,France,212
01-01-79,Italy,209
01-01-79,Nicaragua,206
01-01-79,Turkey,141
01-01-79,Colombia,140
01-01-79,Israel,129
01-01-79,Iran,82
01-01-79,United States,69
01-01-79,Guatemala,60
01-01-79,Rhodesia,51
01-01-79,Philippines,50
01-01-79,Chile,49
01-01-79,Lebanon,38
01-01-79,Namibia,31
01-01-79,Syria,28
01-01-79,West Bank and Gaza Strip,23
01-01-79,India,20
01-01-80,El Salvador,710
01-01-80,Guatemala,281
01-01-80,Spain,187
01-01-80,Colombia,141
01-01-80,United Kingdom,134
01-01-80,Italy,110
01-01-80,Turkey,95
01-01-80,France,94
01-01-80,Lebanon,86
01-01-80,Israel,77
01-01-80,Iran,67
01-01-80,United States,67
01-01-80,Peru,64
01-01-80,Philippines,60
01-01-80,West Bank and Gaza Strip,58
01-01-80,Chile,41
01-01-80,Bolivia,35
01-01-80,Nicaragua,35
01-01-80,Syria,33
01-01-80,Thailand,26
01-01-81,El Salvador,664
01-01-81,Guatemala,399
01-01-81,Colombia,172
01-01-81,Peru,149
01-01-81,United Kingdom,142
01-01-81,Iran,108
01-01-81,Spain,107
01-01-81,Lebanon,81
01-01-81,United States,74
01-01-81,Italy,69
01-01-81,France,66
01-01-81,Nicaragua,47
01-01-81,South Africa,42
01-01-81,Syria,41
01-01-81,Chile,34
01-01-81,Israel,32
01-01-81,Philippines,31
01-01-81,West Germany (FRG),31
01-01-81,Uganda,25
01-01-81,West Bank and Gaza Strip,21
01-01-82,El Salvador,537
01-01-82,Guatemala,354
01-01-82,Peru,350
01-01-82,Colombia,222
01-01-82,Spain,146
01-01-82,Lebanon,120
01-01-82,United Kingdom,95
01-01-82,United States,78
01-01-82,Nicaragua,63
01-01-82,France,62
01-01-82,West Bank and Gaza Strip,56
01-01-82,Israel,54
01-01-82,Philippines,38
01-01-82,Honduras,34
01-01-82,West Germany (FRG),29
01-01-82,Bolivia,27
01-01-82,Iran,26
01-01-82,South Africa,26
01-01-82,Italy,23
01-01-82,Chile,21
01-01-83,Peru,536
01-01-83,El Salvador,371
01-01-83,Nicaragua,299
01-01-83,Colombia,234
01-01-83,Lebanon,234
01-01-83,United Kingdom,177
01-01-83,Spain,122
01-01-83,France,121
01-01-83,Guatemala,117
01-01-83,Chile,106
01-01-83,South Africa,56
01-01-83,India,47
01-01-83,United States,44
01-01-83,West Bank and Gaza Strip,39
01-01-83,Honduras,29
01-01-83,Bolivia,27
01-01-83,Israel,26
01-01-83,Argentina,18
01-01-83,Guadeloupe,17
01-01-83,Philippines,16
01-01-84,Peru,592
01-01-84,Chile,563
01-01-84,Nicaragua,302
01-01-84,El Salvador,273
01-01-84,Colombia,237
01-01-84,Lebanon,166
01-01-84,India,159
01-01-84,France,145
01-01-84,United Kingdom,145
01-01-84,Spain,143
01-01-84,Sri Lanka,81
01-01-84,Guatemala,74
01-01-84,United States,63
01-01-84,South Africa,60
01-01-84,Argentina,46
01-01-84,Philippines,43
01-01-84,West Bank and Gaza Strip,31
01-01-84,Greece,28
01-01-84,Ecuador,24
01-01-84,Namibia,24
01-01-85,El Salvador,436
01-01-85,Colombia,382
01-01-85,Peru,352
01-01-85,Nicaragua,258
01-01-85,Chile,232
01-01-85,Philippines,124
01-01-85,Spain,114
01-01-85,Sri Lanka,110
01-01-85,France,106
01-01-85,South Africa,106
01-01-85,Lebanon,95
01-01-85,United Kingdom,67
01-01-85,Guatemala,63
01-01-85,West Germany (FRG),53
01-01-85,Argentina,43
01-01-85,United States,40
01-01-85,India,39
01-01-85,Greece,35
01-01-85,Belgium,21
01-01-85,Portugal,20
01-01-86,Peru,568
01-01-86,Colombia,307
01-01-86,Chile,243
01-01-86,El Salvador,175
01-01-86,Nicaragua,171
01-01-86,South Africa,159
01-01-86,Sri Lanka,142
01-01-86,Spain,125
01-01-86,Lebanon,106
01-01-86,India,96
01-01-86,France,95
01-01-86,United Kingdom,95
01-01-86,Philippines,80
01-01-86,United States,49
01-01-86,Israel,47
01-01-86,West Germany (FRG),46
01-01-86,Greece,41
01-01-86,Argentina,33
01-01-86,Guatemala,31
01-01-86,Pakistan,24
01-01-87,Peru,627
01-01-87,Colombia,337
01-01-87,El Salvador,234
01-01-87,Nicaragua,223
01-01-87,Chile,173
01-01-87,India,166
01-01-87,Philippines,160
01-01-87,South Africa,133
01-01-87,United Kingdom,117
01-01-87,Sri Lanka,115
01-01-87,Spain,104
01-01-87,Lebanon,94
01-01-87,France,87
01-01-87,Argentina,80
01-01-87,Pakistan,60
01-01-87,Guatemala,56
01-01-87,Turkey,43
01-01-87,United States,34
01-01-87,Greece,26
01-01-87,Ireland,24
01-01-88,Colombia,427
01-01-88,El Salvador,367
01-01-88,India,358
01-01-88,Peru,355
01-01-88,Sri Lanka,350
01-01-88,South Africa,245
01-01-88,Philippines,210
01-01-88,Chile,185
01-01-88,United Kingdom,180
01-01-88,Spain,151
01-01-88,Lebanon,125
01-01-88,Nicaragua,62
01-01-88,France,54
01-01-88,Pakistan,44
01-01-88,Turkey,42
01-01-88,Greece,38
01-01-88,Bangladesh,36
01-01-88,Argentina,33
01-01-88,Israel,32
01-01-88,Guatemala,29
01-01-89,Peru,630
01-01-89,Sri Lanka,510
01-01-89,Colombia,492
01-01-89,El Salvador,356
01-01-89,India,324
01-01-89,United Kingdom,163
01-01-89,Philippines,156
01-01-89,South Africa,149
01-01-89,Chile,146
01-01-89,Spain,142
01-01-89,Lebanon,141
01-01-89,Turkey,114
01-01-89,West Bank and Gaza Strip,113
01-01-89,Guatemala,79
01-01-89,Israel,74
01-01-89,Mozambique,64
01-01-89,Greece,50
01-01-89,Pakistan,45
01-01-89,United States,42
01-01-89,Bolivia,40
01-01-90,Peru,495
01-01-90,Colombia,349
01-01-90,India,349
01-01-90,Philippines,320
01-01-90,Angola,205
01-01-90,Turkey,195
01-01-90,El Salvador,184
01-01-90,Chile,161
01-01-90,South Africa,154
01-01-90,United Kingdom,147
01-01-90,Sri Lanka,141
01-01-90,Spain,113
01-01-90,West Bank and Gaza Strip,105
01-01-90,Japan,93
01-01-90,Pakistan,87
01-01-90,Lebanon,84
01-01-90,Guatemala,83
01-01-90,Israel,81
01-01-90,Greece,55
01-01-90,Soviet Union,36
01-01-91,Peru,658
01-01-91,El Salvador,500
01-01-91,Colombia,420
01-01-91,India,339
01-01-91,Turkey,293
01-01-91,United Kingdom,262
01-01-91,Philippines,162
01-01-91,Pakistan,150
01-01-91,France,137
01-01-91,Chile,127
01-01-91,South Africa,127
01-01-91,Sri Lanka,115
01-01-91,West Bank and Gaza Strip,94
01-01-91,Lebanon,91
01-01-91,Spain,89
01-01-91,Nicaragua,80
01-01-91,Guatemala,77
01-01-91,Germany,65
01-01-91,Greece,57
01-01-91,Israel,53
01-01-92,Colombia,523
01-01-92,Turkey,514
01-01-92,Peru,383
01-01-92,United Kingdom,274
01-01-92,South Africa,271
01-01-92,India,237
01-01-92,Algeria,215
01-01-92,Philippines,162
01-01-92,Germany,156
01-01-92,West Bank and Gaza Strip,139
01-01-92,France,126
01-01-92,Chile,116
01-01-92,Sri Lanka,103
01-01-92,Lebanon,91
01-01-92,Pakistan,85
01-01-92,Egypt,79
